# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	51.070007600924455	30.63736301574597	0.00017977210914767405	9.678306628459915e-05	2.4182001230612065e-05	2.717731037004347e-05	1.5074413803869791e-05
1-PFK-MONOMER	24.54124948394739	33.4204371306782	8.74464858630881e-05	0.00011802194381061679	1.1620451084695567e-05	1.6048067594914193e-05	8.901366926466133e-06
2-DEHYDROPANTOATE-REDUCT-MONOMER	74.13565335154469	67.85192866367954	0.0002647050651772822	0.0002372348551801634	3.5103743758730737e-05	4.8638468715427444e-05	2.6978254809611455e-05
2-ISOPROPYLMALATESYN-MONOMER	596.3662430212324	381.57306792383673	0.0021015815927632937	0.001216249039053027	0.00028238353389972644	0.0006618911555331345	0.0003671305598594469
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	96.48906933046273	64.42617482759672	0.00034011995913491526	0.00020850635414336772	4.5688240572097074e-05	5.248591382219397e-05	2.911231365639865e-05
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	17.217741406518275	12.137508929160825	6.0902364586024904e-05	4.0730322474900425e-05	8.152719442188774e-06	2.1087135921615824e-05	1.169638233116943e-05
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	1088.8485988448138	435.8838161167467	0.003901962866161492	0.001436328453005547	0.0005155773299070134	0.0005955178743203496	0.00033031535287616153
3-ISOPROPYLMALDEHYDROG-MONOMER	1015.6828793999514	543.8673264708347	0.003603006007686644	0.0017552216423193372	0.0004809328565503607	0.0007774193055527446	0.000431210452817168
3-OXOACYL-ACP-REDUCT-MONOMER	1220.344609324058	429.7073062540396	0.004381642874516593	0.0013546319882234228	0.0005778415988313066	0.0006043733629749913	0.00033522721864205006
3-OXOACYL-ACP-SYNTHII-MONOMER	507.19573152145813	171.04192195882618	0.0018064613790310302	0.0004860953139803161	0.00024016068099412362	0.0004229429021847566	0.00023459335144401368
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	18.677037877297156	12.941424979497336	6.667575478105658e-05	4.233214394241997e-05	8.843706397349594e-06	1.1767184685751292e-05	6.526893531565125e-06
6PFK-1-MONOMER	854.2512182699987	318.24192334501754	0.003026068724271118	0.0008582625449008294	0.0004044938503412917	0.0005765614564943042	0.0003198008139958226
6PFK-2-MONOMER	52.820703066220645	100.57653762670147	0.00018838991141080597	0.00033992813863127245	2.5010967621747928e-05	3.3208419783343934e-05	1.841968372773681e-05
6PGLUCONDEHYDROG-MONOMER	2030.313551638057	1008.5122256446608	0.00731211845509497	0.0035116871784043272	0.0009613674857442377	0.0020246931994841936	0.0011230347190113428
6PGLUCONOLACT-MONOMER	262.43623133047043	184.48583195583626	0.0009352537748692879	0.0006220504410382239	0.0001242653676220669	0.00018451754820886915	0.00010234617914368463
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	179.90238020827306	109.92371335485447	0.0006422910670359441	0.0003771236610277397	8.518501923049937e-05	9.33219152079621e-05	5.1762781072151405e-05
7KAPSYN-MONOMER	53.845986750469756	45.85112525427492	0.00019271961823742655	0.00015789914694604653	2.549644652568664e-05	4.339331655875317e-05	2.406893107604872e-05
AAS-MONOMER	17.24900744273263	22.806547556992864	6.125516039902663e-05	7.994186294925443e-05	8.16752412622407e-06	2.697556795447433e-05	1.4962513523353674e-05
ABC-MONOMER	85.39158843887814	49.291442783657	0.0003027430415867191	0.00015527607701353767	4.043350674330997e-05	6.25116179870796e-05	3.46732617855135e-05
ABGT-MONOMER	1.8766856111027514	10.393601849207428	6.620828702107117e-06	3.6195862073011516e-05	8.886235951203814e-07	1.9959822715231337e-06	1.1071096549455783e-06
ACETATEKINA-MONOMER	702.0615829214559	334.98998113658973	0.002504046606745603	0.0011073899183058524	0.0003324310071546726	0.0005887395392058007	0.00032655561995826985
ACETOLACTSYNIII-HCHAIN-MONOMER	159.31035307644524	88.38085192885042	0.0005622511927900753	0.00027833695241828786	7.543455219838474e-05	5.549279024926088e-05	3.0780135044959244e-05
ACETOLACTSYNIII-ICHAIN-MONOMER	102.45642008033059	56.3325631393927	0.00036250902508103757	0.00017921385498797647	4.8513822355918586e-05	0.00012501017565989128	6.933927941849672e-05
ACETYL-COA-ACETYLTRANSFER-MONOMER	88.60887263242778	147.7772162669234	0.00032082778969604226	0.0005304013111367245	4.195691302387292e-05	6.927774318482558e-05	3.8426222240056444e-05
ACETYLGLUTKIN-MONOMER	101.7136052689454	54.21167002085146	0.00036165389773203734	0.00017614540023779001	4.8162094413690744e-05	5.3513312772554297e-05	2.968218008940904e-05
ACETYLORNDEACET-MONOMER	200.64724379675823	103.82255813151474	0.0007138414898904745	0.0003412920722694037	9.500785538015655e-05	0.0001645740715026701	9.128414922005897e-05
ACETYLORNTRANSAM-MONOMER	130.2388619448335	59.49198056326231	0.00046193774518294464	0.00018167392764136328	6.166900041280723e-05	0.00011041653917534281	6.124464046136788e-05
ACNEULY-MONOMER	182.7090254225844	149.02678386364659	0.0006507013432612874	0.0004943620560218042	8.651398511898574e-05	0.00011536670918591013	6.399034671863792e-05
ACONITASE-MONOMER	378.3819194456341	198.49821612100132	0.0013525548768271508	0.0006608467841672368	0.0001791664515340712	0.0007159786309537817	0.000397131210217997
ACONITATEDEHYDRB-MONOMER	487.4289101354662	278.58635479367024	0.0017473870663314319	0.0009412688207501731	0.00023080095458059765	0.0008827929474324501	0.0004896579540631466
