# Column descriptions:
# id	Object ID, according to EcoCyc
# complex-count-avg	A floating point number
# complex-count-std	A floating point number
# complex-concentration-avg	A floating point number in mM units
# complex-concentration-std	A floating point number in mM units
# relative-complex-mass-to-total-protein-mass	A floating point number
# relative-complex-mass-to-total-cell-dry-mass	A floating point number
id	complex-count-avg	complex-count-std	complex-concentration-avg	complex-concentration-std	relative-complex-mass-to-total-protein-mass	relative-complex-mass-to-total-cell-dry-mass
1-PFK	69.49028448966385	55.59781152971465	3.714653286283861e-05	2.801138874837094e-05	1.931095658986699e-05	7.600630932761849e-06
2OXOGLUTARATEDEH-CPLX	235.39241325531927	61.12051485680662	0.00012614880687917822	2.1732187924974398e-05	0.0023432690964610217	0.0009222911094778255
E1O	1.0609347896431547e-05	0.0032571821162106778	6.66248773345972e-12	2.046850281247801e-09	5.5057961622518914e-11	2.16703530068789e-11
E2O	35.690477579795555	10.603169818470704	1.918897543175917e-05	4.7575767266849494e-06	0.00015517785787936804	6.107670643807141e-05
E3-CPLX	6052.374642597592	1382.1925436065824	0.003245375958359596	0.0004094801688296537	0.002525570052513087	0.0009940432404089495
3-ISOPROPYLMALDEHYDROG-CPLX	3509.4049588092066	2279.8311965825433	0.0018640930156368263	0.0010891146845386712	0.0011415220322116765	0.0004492935203950452
3-ISOPROPYLMALISOM-CPLX	8091.852153432389	5267.379873970912	0.004298527058332273	0.0025179976721337043	0.0024103512646747732	0.0009486940895885941
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	630.582256926578	177.41087964315037	0.00033846131872548976	7.113849822688154e-05	0.000732812179858048	0.00028842874231597466
3-OXOACYL-ACP-SYNTHII-CPLX	1251.8045705070738	309.1255666100159	0.0006712303263194329	0.00010442883343062697	0.00044360487217825573	0.00017459916590414437
6PFK-1-CPX	1298.6143077665731	284.545557878404	0.0006969454438233549	8.318007934900205e-05	0.0007449443007823209	0.000293203843598395
6PFK-2-CPX	153.84378265689898	136.2121772038794	8.22390909580484e-05	7.135195793025593e-05	4.110338659434586e-05	1.617794903822554e-05
6PGLUCONDEHYDROG-CPLX	4466.177589874438	1158.2074245056936	0.002391152545875158	0.0004031216778609993	0.0018927171715393894	0.0007449576417421218
7-ALPHA-HYDROXYSTEROID-DEH-CPLX	239.58098910950437	87.75063745586397	0.00012790289794173274	3.753347273497546e-05	0.00010562888765282607	4.1574646349139025e-05
7KAPSYN-CPLX	110.34020465432093	45.49791063360115	5.93584951077953e-05	2.201070130885237e-05	3.778826159517831e-05	1.4873143577274603e-05
ABC-10-CPLX	217.66774705192745	96.69663015946334	0.00011701747482132991	4.67747172470769e-05	0.00014574408678365877	5.736365307020941e-05
ABC-11-CPLX	78.78284786725584	31.393952020001922	4.224679735590281e-05	1.4652895655440198e-05	5.228738882111628e-05	2.0579878734524142e-05
ABC-12-CPLX	403.49841655482646	117.11387353808347	0.00021691944151751175	4.896728039177598e-05	0.00021493748203926284	8.459759447933272e-05
ABC-13-CPLX	81.38479043885567	45.002609061923074	4.349539566763014e-05	2.221693949058202e-05	4.663038076493273e-05	1.83533276976235e-05
ABC-14-CPLX	251.2354638672134	81.9611805950055	0.00013458770491379498	3.548301863484704e-05	0.00014203247871716348	5.590279519146013e-05
ABC-15-CPLX	295.3826579599285	87.6066531681131	0.00015899339937987207	3.846340663466966e-05	0.00021046262534086637	8.283632832541492e-05
ABC-16-CPLX	23.10433232721351	20.403166945096537	1.2432779691901072e-05	1.070543578572092e-05	2.0412885340442702e-05	8.034340868794751e-06
ABC-18-CPLX	137.9677847151125	96.38229135192822	7.354257452251655e-05	4.7728239563484834e-05	9.27191648435498e-05	3.6493487471227525e-05
ABC-19-CPLX	50.77533644894517	24.859340021782806	2.7075748925584083e-05	1.1782630150730114e-05	2.4324626588007855e-05	9.573969493034174e-06
ABC-2-CPLX	45.284266867536985	38.21899327273115	2.4433960504307266e-05	1.997927867411598e-05	3.989660705615882e-05	1.570297070950922e-05
ABC-20-CPLX	6.672362118262401	23.03151939143467	3.6466442561033227e-06	1.267279429997462e-05	4.968768830208904e-06	1.9556658362768776e-06
ABC-21-CPLX	281.81621957106404	126.37613643941464	0.0001506495144833922	5.8913698117546556e-05	7.329363512297592e-05	2.8847761512889822e-05
ABC-22-CPLX	741.5224626418337	202.71557446036311	0.0003971358483657853	7.374948763714503e-05	0.0006159025245473939	0.0002424140802065404
ABC-23-CPLX	0.0	0.0	0.0	0.0	0.0	0.0
ABC-24-CPLX	137.814278060399	59.84349484640216	7.406141549697917e-05	2.8853134225139192e-05	0.00010500932462512483	4.133079152551975e-05
ABC-25-CPLX	29.2378403611422	23.185044581429143	1.5698764198900396e-05	1.1770908598711318e-05	2.2958351108174174e-05	9.036214896239783e-06
ABC-26-CPLX	60.453029764525525	43.31183881698528	3.2389397341168266e-05	2.164213402181966e-05	4.967007982024236e-05	1.9549727811649776e-05
