# Column descriptions:
# id	Object ID, according to EcoCyc
# rna-count-avg	A floating point number
# rna-count-std	A floating point number
# rna-concentration-avg	A floating point number in mM units
# rna-concentration-std	A floating point number in mM units
# relative-rna-count-to-total-rna-counts	A floating point number
# relative-rna-count-to-total-rna-type-counts	A floating point number
# relative-rna-mass-to-total-rna-mass	A floating point number
# relative-rna-mass-to-total-rna-type-mass	A floating point number
# relative-rna-mass-to-total-cell-dry-mass	A floating point number
id	rna-count-avg	rna-count-std	rna-concentration-avg	rna-concentration-std	relative-rna-count-to-total-rna-counts	relative-rna-count-to-total-rna-type-counts	relative-rna-mass-to-total-rna-mass	relative-rna-mass-to-total-rna-type-mass	relative-rna-mass-to-total-cell-dry-mass
EG10001	1.0717359478284016	1.0634875903218155	5.385791463592773e-07	5.343335533836029e-07	1.4187607079451998e-06	4.0885332977023815e-05	3.472254791193044e-06	6.783084887983348e-05	5.622866043769427e-07
EG10002	1.7244632003903997	1.3458172270711526	8.666875314525271e-07	6.824919336377741e-07	2.2828390108298016e-06	6.578602900970754e-05	3.5572303990508544e-06	6.949085598233493e-05	5.760473013506858e-07
EG10003	0.727574198127856	0.8595105109854625	3.615738696559484e-07	4.308264987209502e-07	9.63160456183387e-07	2.775600969270779e-05	1.6523953912017609e-06	3.227971125696938e-05	2.67583990657468e-07
EG10004	2.2670522603256287	1.588638074009213	1.1292206365538181e-06	7.607464113661387e-07	3.0011167175324986e-06	8.648509619140675e-05	8.282163477793053e-06	0.00016179290203160196	1.3411888985320944e-06
EG10006	0.01698016946896766	0.1291969168119939	8.85003733398552e-09	6.91429486324071e-08	2.2478295428678914e-08	6.477713882339541e-07	6.800989620871181e-08	1.328580207813965e-06	1.1013320134288155e-08
EG10007	3.200506854176833	1.8302557917459528	1.6058869554716986e-06	8.857703036036606e-07	4.236821000001037e-06	0.00012209517530265595	6.833630513302974e-06	0.0001334956639196419	1.106617782380984e-06
EG10008	0.14213544208331486	0.36939267403174136	6.974354344403953e-08	1.8532004704088287e-07	1.8815845530126362e-07	5.422282316075924e-06	5.969475668903516e-07	1.1661431154656459e-05	9.66679119369937e-08
EG10011	1.3099795927421143	1.1685671677062937	6.629338502966312e-07	6.016670594146992e-07	1.7341469026567944e-06	4.997401827464208e-05	3.0488440228240874e-06	5.9559476653298005e-05	4.937207249931286e-07
EG10012	1.286982609467193	1.1466378767111196	6.368988732332419e-07	5.602318281643461e-07	1.7037035678616502e-06	4.9096713262556445e-05	6.626148008435225e-06	0.00012944247218135417	1.073018683194595e-06
EG10013	0.7915686970409476	0.8748931280368448	4.0666484592489657e-07	4.6239960684922444e-07	1.0478761744221048e-06	3.019731662289062e-05	3.141367505914498e-06	6.136693226262128e-05	5.087037024128701e-07
EG10014	0.10984428374961182	0.33494118514835725	5.697474330216045e-08	1.766866297365041e-07	1.454115205262155e-07	4.190416609450739e-06	1.0245864488402925e-06	2.0015400008054096e-05	1.6591847944749763e-07
EG10015	3.5123885364447007	2.208338675247315	1.7116409474059446e-06	9.72446438196888e-07	4.649688999088016e-06	0.0001339930559838009	1.0675362488677145e-05	0.000208544286998622	1.7287364220725294e-06
EG10016	0.028048888691717316	0.17816529557886152	1.4575301506322768e-08	9.833384488162061e-08	3.7131031442932054e-08	1.0700286354302221e-06	6.472193622145364e-08	1.264349576587154e-06	1.048087768183569e-08
EG10017	4.444894858258285	2.3045491601119634	2.2506271282642267e-06	1.1657998113834497e-06	5.884137961988199e-06	0.00016956695974972415	1.2961699071060945e-05	0.0002532081036060503	2.0989789620589614e-06
EG10018	0.6519176167871877	0.8230836591995978	3.286871856812021e-07	4.2352276737169394e-07	8.630065095689302e-07	2.4869809480534098e-05	3.7898046315343754e-06	7.40342171599035e-05	6.137096802119443e-07
EG10020	2.492424914600062	1.6858059325092365	1.2534799252646202e-06	8.288269870420073e-07	3.299464334944955e-06	9.508276993053679e-05	5.218925182716822e-06	0.00010195223181257058	8.451372079405703e-07
EG10021	1.2320937402954617	1.1708343200526639	6.18242477748555e-07	5.960640132572096e-07	1.6310418538991867e-06	4.70027742681934e-05	3.5332284447173973e-06	6.902197537445361e-05	5.721604963170226e-07
EG10022	7.009942992768733	6.173106545528821	3.503046278496304e-06	2.9886181427256557e-06	9.279740689138896e-06	0.0002674202110977371	2.746018639350473e-05	0.0005364375212885472	4.446820838702463e-06
EG10023	7.009942992768733	6.173106545528821	3.503046278496304e-06	2.9886181427256557e-06	9.279740689138896e-06	0.0002674202110977371	3.366579505888461e-05	0.0006576647148275728	5.4517386325806235e-06
EG10024	12.949974490927643	5.0997142598763325	6.3980141223989125e-06	2.0529459940604744e-06	1.7143135875817906e-05	0.0004940246897366505	0.00010336905990632376	0.002019325050437084	1.6739277843257828e-05
EG10025	12.949974490927643	5.0997142598763325	6.3980141223989125e-06	2.0529459940604744e-06	1.7143135875817906e-05	0.0004940246897366505	7.374803898822895e-05	0.0014406754079460383	1.1942537894202648e-05
EG10026	1.0088505390177898	1.318369738527913	5.052660811035572e-07	6.514332067543189e-07	1.3355131997279497e-06	3.848633639225143e-05	5.241943565727851e-06	0.00010240189825509071	8.488647363622598e-07
EG10027	4.4950811853955015	2.4390667042441554	2.23748496103722e-06	1.140556103972255e-06	5.950574465459638e-06	0.00017148150287954692	1.6183336917350753e-05	0.0003161431250945373	2.620681404436506e-06
EG10028	0.6413202608579921	0.8303628312526358	3.217797395395929e-07	4.2082408342228385e-07	8.48977762813801e-07	2.4465534130137272e-05	1.4248924893943894e-06	2.7835419037584993e-05	2.3074284798912862e-07
EG10029	0.20256976176744598	0.4526350567400039	1.0385824693151648e-07	2.3892696151355393e-07	2.681612193710686e-07	7.727773037491218e-06	6.469205339919683e-07	1.2637658126290062e-05	1.0476038546557195e-07
EG10030	0.5986923827691761	0.7906135057918694	2.937602368346712e-07	3.8859211217918235e-07	7.925471106386688e-07	2.2839336004286714e-05	1.7942747201512923e-06	3.505133831197624e-05	2.905595068288779e-07
EG10031	4.699752672907147	3.6813264510326262	2.346330678358265e-06	1.8093196188748108e-06	6.221517942821389e-06	0.00017928945402159095	3.760501595732953e-05	0.0007346177938885972	6.089644338260774e-06
EG10032	12.556807595049023	5.240703701212986	6.167698504339124e-06	2.011218738417437e-06	1.662266276425752e-05	0.0004790258838403739	2.4338778633814647e-05	0.0004754605046891608	3.9413493581752735e-06
EG10033	0.5152998979637106	0.6799434029852878	2.5515685743563354e-07	3.335744777220117e-07	6.821523991244711e-07	1.9658021132875154e-05	1.9215239860566336e-06	3.7537165604255464e-05	3.1116587414295075e-07
