# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	326.21052193780224	107.25865382292474	0.00016210048143454873	3.940323617306396e-05	2.7561769977765364e-05	3.3993155841535956e-05	1.3534588830098344e-05
1-PFK-MONOMER	167.07931657867886	118.12737535159279	8.334964430456125e-05	5.534356725331306e-05	1.4116655907444364e-05	2.139447989640887e-05	8.518346751374034e-06
2-DEHYDROPANTOATE-REDUCT-MONOMER	406.67882414267336	160.36004383777455	0.00020304514560708886	6.879959376455595e-05	3.436059676819868e-05	5.224651199154392e-05	2.0802277402803156e-05
2-ISOPROPYLMALATESYN-MONOMER	5376.69730158378	3948.5152803671185	0.0026815342224376757	0.0018257969625760982	0.00045428115986577265	0.001168535958395624	0.00046525994243654947
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	700.5615600461382	250.13496022893202	0.0003500946134713765	0.0001040621483527042	5.9190968024439335e-05	7.462149022675825e-05	2.9711015735535197e-05
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	120.08688057317777	43.10262569482906	6.0100832688361545e-05	1.8306795224111015e-05	1.0146229986831567e-05	2.8799831618639007e-05	1.1466834122475285e-05
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	6282.48225455836	1669.4822566484004	0.0031313615100067426	0.0005302946242765615	0.000530811605220219	0.0006728395996759352	0.0002678953190658004
3-ISOPROPYLMALDEHYDROG-MONOMER	7108.392407169158	5137.620234261227	0.0035436369506756274	0.0023685364365040535	0.0006005933691968578	0.0010654217345204507	0.000424204365567164
3-OXOACYL-ACP-REDUCT-MONOMER	7700.951549398873	1605.0190371348424	0.0038472831460003693	0.000322747628930858	0.0006506591324939452	0.0007468273043725808	0.0002973539891057336
3-OXOACYL-ACP-SYNTHII-MONOMER	2603.1224324564128	675.1425612341046	0.001298468724204622	0.0002137878194410356	0.0002199397532646248	0.00042506340257320827	0.00016924166756889707
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	39.632336631027904	33.987606099038885	1.9947893560006604e-05	1.662367193252839e-05	3.34856564226346e-06	4.889531145218706e-06	1.9467975827543778e-06
6PFK-1-MONOMER	5466.514928352779	1214.7127945846235	0.0027320562914128488	0.0003215382991720889	0.00046186991805251173	0.0007224761355911071	0.00028765841807590716
6PFK-2-MONOMER	334.7940974224746	287.1521938836735	0.0001686663784584577	0.0001409246061477148	2.828700266397661e-05	4.121684962835899e-05	1.6410747951509535e-05
6PGLUCONDEHYDROG-MONOMER	8864.401923162237	2360.32812021913	0.004427207939663058	0.0008047240057612978	0.0007489599211739777	0.0017310057822215088	0.0006892108409735776
6PGLUCONOLACT-MONOMER	1901.1618550641053	648.9935032326911	0.0009478861917674837	0.0002551903193633412	0.00016063058122254385	0.0002617495497433367	0.00010421722974925068
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	976.0274943436405	345.4323896376142	0.0004879028291305213	0.00014477518138186234	8.246528999516226e-05	9.914293100993388e-05	3.9474381633924544e-05
7KAPSYN-MONOMER	229.48848764473627	83.14860517312319	0.00011516750176609482	3.646081454498918e-05	1.938965325654168e-05	3.621457368162528e-05	1.4419060316817935e-05
AAS-MONOMER	97.16864269553258	62.94284371513625	4.8760603754443156e-05	2.9822303402022795e-05	8.209850997806176e-06	2.975675659373615e-05	1.1847839820786075e-05
